Name,Party
Sen. Angela Alsobrooks,Democrat
Sen. Tammy Baldwin,Democrat
Sen. Jim Banks,Republican
Sen. John Barrasso,Republican
Sen. Michael Bennet,Democrat
Sen. Marsha Blackburn,Republican
Sen. Richard Blumenthal,Democrat
Sen. Lisa Blunt Rochester,Democrat
Sen. Cory Booker,Democrat
Sen. John Boozman,Republican
Sen. Katie Britt,Republican
Sen. Ted Budd,Republican
Sen. Maria Cantwell,Democrat
Sen. Shelley Moore Capito,Republican
Sen. Bill Cassidy,Republican
Sen. Susan Collins,Republican
Sen. Chris Coons,Democrat
Sen. John Cornyn,Republican
Sen. Catherine Cortez Masto,Democrat
Sen. Tom Cotton,Republican
Sen. Kevin Cramer,Republican
Sen. Mike Crapo,Republican
Sen. Ted Cruz,Republican
Sen. John Curtis,Republican
Sen. Steve Daines,Republican
Sen. Tammy Duckworth,Democrat
Sen. Dick Durbin,Democrat
Sen. Joni Ernst,Republican
Sen. John Fetterman,Democrat
Sen. Deb Fischer,Republican
Sen. Ruben Gallego,Democrat
Sen. Kirsten Gillibrand,Democrat
Sen. Lindsey Graham,Republican
Sen. Chuck Grassley,Republican
Sen. Bill Hagerty,Republican
Sen. Maggie Hassan,Democrat
Sen. Josh Hawley,Republican
Sen. Martin Heinrich,Democrat
Sen. John Hickenlooper,Democrat
Sen. Mazie Hirono,Democrat
Sen. John Hoeven,Republican
Sen. Jon Husted,Republican
Sen. Cindy Hyde-Smith,Republican
Sen. Ron Johnson,Republican
Sen. Jim Justice,Republican
Sen. Tim Kaine,Democrat
Sen. Mark Kelly,Democrat
Sen. John Kennedy,Republican
Sen. Andy Kim,Democrat
Sen. Angus King,Independent
Sen. Amy Klobuchar,Democrat
Sen. James Lankford,Republican
Sen. Mike Lee,Republican
Sen. Ben Ray Luján,Democrat
Sen. Cynthia Lummis,Republican
Sen. Ed Markey,Democrat
Sen. Roger Marshall,Republican
Sen. Mitch McConnell,Republican
Sen. Dave McCormick,Republican
Sen. Jeff Merkley,Democrat
Sen. Ashley Moody,Republican
Sen. Jerry Moran,Republican
Sen. Bernie Moreno,Republican
Sen. Markwayne Mullin,Republican
Sen. Lisa Murkowski,Republican
Sen. Chris Murphy,Democrat
Sen. Patty Murray,Democrat
Sen. Jon Ossoff,Democrat
Sen. Alex Padilla,Democrat
Sen. Rand Paul,Republican
