Name,State
Adam Schiff,CA
Alex Padilla,CA
Amy Klobuchar,MN
Andy Kim,NJ
Angela Alsobrooks,MD
Angus King,ME
Ben Ray Lujan,NM
Ben Sasse,NE
Bernie Moreno,OH
Bernie Sanders,VT
Bill Cassidy,LA
Bill Hagerty,TN
Bob Casey,PA
Brian Schatz,HI
Catherine Cortez Masto,NV
Chris Coons,DE
Chris Murphy,CT
Chris Van Hollen,MD
Chuck Grassley,IA
Chuck Schumer,NY
Cindy Hyde-Smith,MS
Cory Booker,NJ
Cynthia Lummis,WY
Dan Sullivan,AK
Dave McCormick,PA
Deb Fischer,NE
Debbie Stabenow,MI
Dick Durbin,IL
Ed Markey,MA
Elissa Slotkin,MI
Elizabeth Warren,MA
Eric Schmitt,MO
Gary Peters,MI
J.D. Vance,OH
Jack Reed,RI
Jacky Rosen,NV
James Lankford,OK
Jeanne Shaheen,NH
Jerry Moran,KS
Jim Banks,IN
Jim Justice,WV
Jim Risch,ID
Joe Manchin,WV
John Barrasso,WY
John Boozman,AR
John Cornyn,TX
John Curtis,UT
John Fetterman,PA
John Hickenlooper,CO
John Kennedy,LA
John Thune,SD
Jon Ossoff,GA
Jon Tester,MT
Joni Ernst,IA
Josh Hawley,MO
Katie Britt,AL
Kelly Loeffler,GA
Kevin Cramer,ND
Kirsten Gillibrand,NY
Kyrsten Sinema,AZ
Laphonza Butler,CA
Lindsey Graham,SC
Lisa Blunt Rochester,DE
Lisa Murkowski,AK
Maggie Hassan,NH
Marco Rubio,FL
Maria Cantwell,WA
Mark Kelly,AZ
Mark Warner,VA
Markwayne Mullin,OK
Marsha Blackburn,TN
Martin Heinrich,NM
Mazie Hirono,HI
Michael Bennet,CO
Mike Braun,IN
Mike Crapo,ID
Mike Lee,UT
Mike Rounds,SD
Mitch McConnell,KY
Mitt Romney,UT
Patty Murray,WA
Pete Ricketts,NE
Peter Welch,VT
Rand Paul,KY
Raphael Warnock,GA
Richard Blumenthal,CT
Rick Scott,FL
Roger Marshall,KS
Roger Wicker,MS
Ron Wyden,OR
Ruben Gallego,AZ
Sheldon Whitehouse,RI
Shelley Moore Capito,WV
Sherrod Brown,OH
Steve Daines,MT
Susan Collins,ME
Tammy Baldwin,WI
Tammy Duckworth,IL
Ted Budd,NC
Ted Cruz,TX
Thom Tillis,NC
Tim Kaine,VA
Tim Scott,SC
Tim Sheehy,MT
Tina Smith,MN
Todd Young,IN
Tom Cotton,AR
Tommy Tuberville,AL
